Tag ID,Marketplace Tag Name,Tag Title,Tag Status,Tag Load Rule Mappings,Tag Data Mappings
,,,,,js.obj_noRooms - obj_noRooms,
,,,,,js.obj_purchasePrice - obj_price,
,,,,,js.obj_purchasePriceRange - obj_purchasePriceRange,
,,,,,js.obj_regio1 - obj_regio1,
,,,,,js.obj_regio2 - obj_regio2,
,,,,,js.obj_regio3 - obj_regio3,
,,,,,js.obj_typeOfFlat - obj_type,
,,,,,js.obj_zipCode - obj_zipcode,
,,,,,js.psn_gender - psn_gender,

1101,Krux Event Pixel,"Krux - Residential - Expose - Save Object",active,js.cmp_load,js.obj_balcony - obj_balcony,
,,,,js.evt_event,js.obj_baseRent - obj_rent,
,,,,js.evt_saved,js.obj_baseRentRange - obj_baseRentRange,
,,,,js.salesforce_dmp_krux_load,js.obj_buildInKitchen - buildInKitchen,
,,,,js.svc_module_name,js.obj_buildingType - obj_type,
,,,,,js.obj_condition - obj_condition,
,,,,,js.obj_firingTypes - obj_heatingType,
,,,,,js.obj_furnished - obj_furnished,
,,,,,js.obj_garden - obj_garden,
,,,,,js.obj_interiorQual - obj_interiorQual,
,,,,,js.obj_ityp - obj_ityp,
,,,,,js.obj_livingSpace - obj_livingSpace,
,,,,,js.obj_noRooms - obj_noRooms,
,,,,,js.obj_purchasePrice - obj_price,
,,,,,js.obj_purchasePriceRange - obj_purchasePriceRange,
,,,,,js.obj_regio1 - obj_regio1,
,,,,,js.obj_regio2 - obj_regio2,
,,,,,js.obj_regio3 - obj_regio3,
,,,,,js.obj_typeOfFlat - obj_type,
,,,,,js.obj_zipCode - obj_zipcode,
,,,,,js.psn_gender - psn_gender,

1103,Krux Event Pixel,"Krux - Residential - Resultlist - Save Object",active,js.cmp_load,js.obj_balcony - obj_balcony,
,,,,js.evt_event,js.obj_baseRent - obj_rent,
,,,,js.evt_saved,js.obj_baseRentRange - obj_baseRentRange,
,,,,js.salesforce_dmp_krux_load,js.obj_buildInKitchen - buildInKitchen,
,,,,js.svc_module_name,js.obj_buildingType - obj_type,
,,,,,js.obj_condition - obj_condition,
,,,,,js.obj_firingTypes - obj_heatingType,
,,,,,js.obj_furnished - obj_furnished,
,,,,,js.obj_garden - obj_garden,
,,,,,js.obj_interiorQual - obj_interiorQual,
,,,,,js.obj_ityp - obj_ityp,
,,,,,js.obj_livingSpace - obj_livingSpace,
,,,,,js.obj_noRooms - obj_noRooms,
,,,,,js.obj_purchasePrice - obj_price,
,,,,,js.obj_purchasePriceRange - obj_purchasePriceRange,
,,,,,js.obj_regio1 - obj_regio1,
,,,,,js.obj_regio2 - obj_regio2,
,,,,,js.obj_regio3 - obj_regio3,
